"Week","christmas","amazon","rakhi","diwali","country"
2019-09-29,5,32,0,0,"US"
2019-10-06,6,31,0,0,"US"
2019-10-13,7,31,0,0,"US"
2019-10-20,8,33,0,1,"US"
2019-10-27,12,31,0,1,"US"
2019-11-03,19,33,0,0,"US"
2019-11-10,24,35,0,0,"US"
2019-11-17,29,37,0,0,"US"
2019-11-24,38,44,0,0,"US"
2019-12-01,54,46,0,0,"US"
2019-12-08,54,44,0,0,"US"
2019-12-15,58,44,0,0,"US"
2019-12-22,95,40,0,0,"US"
2019-12-29,10,36,0,0,"US"
2020-01-05,5,32,0,0,"US"
2020-01-12,3,31,0,0,"US"
2020-01-19,2,32,0,0,"US"
2020-01-26,2,32,0,0,"US"
2020-02-02,2,31,0,0,"US"
2020-02-09,2,31,0,0,"US"
2020-02-16,2,31,0,0,"US"
2020-02-23,1,32,0,0,"US"
2020-03-01,1,33,0,0,"US"
2020-03-08,1,34,0,0,"US"
2020-03-15,1,41,0,0,"US"
2020-03-22,1,39,0,0,"US"
2020-03-29,1,42,0,0,"US"
2020-04-05,1,41,0,0,"US"
2020-04-12,1,42,0,0,"US"
2020-04-19,1,41,0,0,"US"
2020-04-26,1,43,0,0,"US"
2020-05-03,1,42,0,0,"US"
2020-05-10,1,40,0,0,"US"
2020-05-17,1,41,0,0,"US"
2020-05-24,1,38,0,0,"US"
2020-05-31,1,39,0,0,"US"
2020-06-07,1,37,0,0,"US"
2020-06-14,2,37,0,0,"US"
2020-06-21,2,36,0,0,"US"
2020-06-28,2,37,0,0,"US"
2020-07-05,2,37,0,0,"US"
2020-07-12,2,38,0,0,"US"
2020-07-19,2,38,0,0,"US"
2020-07-26,2,38,0,0,"US"
2020-08-02,2,36,0,0,"US"
2020-08-09,2,36,0,0,"US"
2020-08-16,2,36,0,0,"US"
2020-08-23,2,35,0,0,"US"
2020-08-30,3,35,0,0,"US"
2020-09-06,3,33,0,0,"US"
2020-09-13,4,34,0,0,"US"
2020-09-20,4,34,0,0,"US"
2020-09-27,5,33,0,0,"US"
2020-10-04,5,34,0,0,"US"
2020-10-11,6,42,0,0,"US"
2020-10-18,8,36,0,0,"US"
2020-10-25,11,35,0,0,"US"
2020-11-01,14,28,0,0,"US"
2020-11-08,23,37,0,2,"US"
2020-11-15,28,40,0,1,"US"
2020-11-22,41,46,0,0,"US"
2020-11-29,55,48,0,0,"US"
2020-12-06,52,47,0,0,"US"
2020-12-13,56,45,0,0,"US"
2020-12-20,100,41,0,0,"US"
2020-12-27,15,39,0,0,"US"
2021-01-03,6,37,0,0,"US"
2021-01-10,4,38,0,0,"US"
