"Week","christmas","amazon","rakhi","diwali","country"
2018-09-09,8,32,0,0,"UK"
2018-09-16,10,32,0,0,"UK"
2018-09-23,10,32,0,0,"UK"
2018-09-30,12,32,0,0,"UK"
2018-10-07,13,31,0,0,"UK"
2018-10-14,14,33,0,1,"UK"
2018-10-21,16,33,0,1,"UK"
2018-10-28,21,33,0,1,"UK"
2018-11-04,31,35,0,4,"UK"
2018-11-11,40,41,0,0,"UK"
2018-11-18,43,54,0,0,"UK"
2018-11-25,57,47,0,0,"UK"
2018-12-02,70,47,0,0,"UK"
2018-12-09,76,46,0,0,"UK"
2018-12-16,86,45,0,0,"UK"
2018-12-23,79,39,0,0,"UK"
2018-12-30,15,34,0,0,"UK"
2019-01-06,6,33,0,0,"UK"
2019-01-13,3,30,0,0,"UK"
2019-01-20,2,30,0,0,"UK"
2019-01-27,2,29,0,0,"UK"
2019-02-03,2,30,0,0,"UK"
2019-02-10,2,29,0,0,"UK"
2019-02-17,1,29,0,0,"UK"
2019-02-24,1,29,0,0,"UK"
2019-03-03,1,30,0,0,"UK"
2019-03-10,1,28,0,0,"UK"
2019-03-17,1,28,0,0,"UK"
2019-03-24,1,30,0,0,"UK"
2019-03-31,1,29,0,0,"UK"
2019-04-07,2,30,0,0,"UK"
2019-04-14,1,30,0,0,"UK"
2019-04-21,1,28,0,0,"UK"
2019-04-28,1,29,0,0,"UK"
2019-05-05,1,29,0,0,"UK"
2019-05-12,2,29,0,0,"UK"
2019-05-19,2,29,0,0,"UK"
2019-05-26,1,29,0,0,"UK"
2019-06-02,2,30,0,0,"UK"
2019-06-09,2,31,0,0,"UK"
2019-06-16,2,30,0,0,"UK"
2019-06-23,2,31,0,0,"UK"
2019-06-30,2,30,0,0,"UK"
2019-07-07,2,32,0,0,"UK"
2019-07-14,2,37,0,0,"UK"
2019-07-21,2,30,0,0,"UK"
2019-07-28,3,31,0,0,"UK"
2019-08-04,3,30,0,0,"UK"
2019-08-11,4,31,0,0,"UK"
2019-08-18,4,36,0,0,"UK"
2019-08-25,4,32,0,0,"UK"
2019-09-01,6,31,0,0,"UK"
2019-09-08,8,30,0,0,"UK"
2019-09-15,8,31,0,0,"UK"
2019-09-22,9,32,0,0,"UK"
2019-09-29,12,33,0,0,"UK"
2019-10-06,13,33,0,0,"UK"
2019-10-13,15,33,0,1,"UK"
2019-10-20,16,33,0,2,"UK"
2019-10-27,20,35,0,2,"UK"
2019-11-03,31,36,0,0,"UK"
2019-11-10,42,37,0,0,"UK"
2019-11-17,49,44,0,0,"UK"
2019-11-24,52,55,0,0,"UK"
2019-12-01,70,52,0,0,"UK"
2019-12-08,69,47,0,0,"UK"
2019-12-15,76,48,0,0,"UK"
2019-12-22,92,45,0,0,"UK"
2019-12-29,18,36,0,0,"UK"
2020-01-05,7,33,0,0,"UK"
2020-01-12,3,33,0,0,"UK"
2020-01-19,3,32,0,0,"UK"
2020-01-26,2,34,0,0,"UK"
2020-02-02,2,31,0,0,"UK"
2020-02-09,2,31,0,0,"UK"
2020-02-16,2,32,0,0,"UK"
2020-02-23,2,32,0,0,"UK"
2020-03-01,2,33,0,0,"UK"
2020-03-08,1,33,0,0,"UK"
2020-03-15,1,40,0,0,"UK"
2020-03-22,2,48,0,0,"UK"
2020-03-29,2,50,0,0,"UK"
2020-04-05,2,50,0,0,"UK"
2020-04-12,2,51,0,0,"UK"
2020-04-19,2,51,0,0,"UK"
2020-04-26,2,51,0,0,"UK"
2020-05-03,2,48,0,0,"UK"
2020-05-10,2,47,0,0,"UK"
2020-05-17,2,50,0,0,"UK"
2020-05-24,2,48,0,0,"UK"
2020-05-31,2,46,0,0,"UK"
2020-06-07,2,45,0,0,"UK"
2020-06-14,2,43,0,0,"UK"
2020-06-21,2,41,0,0,"UK"
2020-06-28,2,42,0,0,"UK"
2020-07-05,2,39,0,0,"UK"
2020-07-12,2,40,0,0,"UK"
2020-07-19,2,38,0,0,"UK"
2020-07-26,2,38,0,0,"UK"
2020-08-02,2,36,0,0,"UK"
2020-08-09,2,36,0,0,"UK"
2020-08-16,3,36,0,0,"UK"
2020-08-23,4,36,0,0,"UK"
2020-08-30,5,39,0,0,"UK"
2020-09-06,6,38,0,0,"UK"
2020-09-13,7,36,0,0,"UK"
2020-09-20,8,36,0,0,"UK"
2020-09-27,11,39,0,0,"UK"
2020-10-04,12,38,0,0,"UK"
2020-10-11,13,49,0,0,"UK"
2020-10-18,15,40,0,0,"UK"
2020-10-25,18,43,0,1,"UK"
2020-11-01,26,45,0,1,"UK"
2020-11-08,39,51,0,5,"UK"
2020-11-15,47,55,0,1,"UK"
2020-11-22,61,58,0,0,"UK"
2020-11-29,75,54,0,0,"UK"
2020-12-06,74,53,0,0,"UK"
2020-12-13,79,55,0,0,"UK"
2020-12-20,100,49,0,0,"UK"
2020-12-27,21,47,0,0,"UK"
